1;2018-06-04T22:00:05.70Z;Service started
10240;2018-06-05T01:48:47.84Z;onLocationChanged;Location[gps 48,119911,11,570999 hAcc=5 et=+14d16h19m39s137ms alt=573.220703125 vel=0.0 vAcc=8 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10241;2018-06-05T01:48:47.84Z;onStatusChanged;2
10242;2018-06-05T01:48:48.81Z;onGpsStatusChangedStatus;12/24
10243;2018-06-05T01:48:48.82Z;onLocationChanged;Location[gps 48,119911,11,570998 hAcc=5 et=+14d16h19m40s139ms alt=573.262939453125 vel=0.0 vAcc=8 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10244;2018-06-05T01:48:48.83Z;onStatusChanged;2
10245;2018-06-05T01:48:49.82Z;onLocationChanged;Location[gps 48,119910,11,570998 hAcc=5 et=+14d16h19m41s129ms alt=573.279052734375 vel=0.0 vAcc=8 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10246;2018-06-05T01:48:49.83Z;onGpsStatusChangedStatus;12/24
10247;2018-06-05T01:48:50.81Z;onGpsStatusChangedStatus;11/24
10248;2018-06-05T01:48:50.83Z;onLocationChanged;Location[gps 48,119910,11,570998 hAcc=5 et=+14d16h19m42s136ms alt=573.3115234375 vel=0.0 vAcc=8 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10249;2018-06-05T01:48:50.84Z;onStatusChanged;2
10250;2018-06-05T01:48:51.81Z;onGpsStatusChangedStatus;11/24
10251;2018-06-05T01:48:51.82Z;onLocationChanged;Location[gps 48,119910,11,570998 hAcc=4 et=+14d16h19m43s136ms alt=573.33935546875 vel=0.0 vAcc=6 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10252;2018-06-05T01:48:51.83Z;onStatusChanged;2
10253;2018-06-05T01:48:52.58Z;onGpsStatusChanged;2
10254;2018-06-05T05:23:49.29Z;onGpsStatusChanged;1
10255;2018-06-05T05:23:51.26Z;onGpsStatusChangedStatus;2/24
10256;2018-06-05T05:23:51.95Z;onGpsStatusChangedStatus;0/24
10257;2018-06-05T05:23:53.27Z;onGpsStatusChangedStatus;0/23
10258;2018-06-05T05:23:53.31Z;onLocationChanged;Location[gps 48,119933,11,571016 hAcc=20 et=+14d19h54m44s610ms alt=571.92578125 vel=1.5 bear=41.5 vAcc=24 sAcc=3 bAcc=75 {Bundle[mParcelledData.dataSize=96]}]
10259;2018-06-05T05:23:53.32Z;onStatusChanged;2
10260;2018-06-05T05:23:53.33Z;onGpsStatusChanged;3
10261;2018-06-05T05:23:54.27Z;onGpsStatusChangedStatus;12/23
